# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0.0242601 0.00429185 0 0
16 1.55 0 0 0.191086 0.0429185 0 0
17 1.65 0 0 0.955585 0.261803 0.0187772 0.00429185
18 1.75 0 0 1.43253 0.630901 0.133545 0.0386266
19 1.85 0 0 1.47566 1.05579 0.283816 0.120172
20 1.95 0 0 0.818399 1.3176 0.322686 0.223176
21 2.05 0 0 0.594843 1.5279 0.790774 0.502146
22 2.15 0 0 0.408363 1.6867 1.08394 0.922747
23 2.25 0 0 0.22171 1.78112 1.30282 1.47639
24 2.35 0 0 0.194007 1.87124 1.27765 2.06867
25 2.45 0.0682913 0.0171674 0.237994 1.99142 1.30326 2.72532
26 2.55 0.409765 0.128755 0.180464 2.09013 1.15588 3.35622
27 2.65 2.10144 0.746781 0.261553 2.24464 1.07758 3.99142
28 2.75 3.11682 1.73391 0.492504 2.55794 0.831619 4.51931
29 2.85 2.3468 2.53219 0.734939 3.06009 0.591734 4.92275
30 2.95 1.55448 3.09871 1.00256 3.79399 0.740317 5.46352
31 3.05 1.29999 3.60515 1.27796 4.79399 0.742041 6.04292
32 3.15 0.908914 3.98283 1.44494 6 0.788436 6.69957
33 3.25 0.815035 4.34335 1.44434 7.28326 0.750349 7.36481
34 3.35 0.968014 4.79828 1.40487 8.60944 1.00694 8.3133
35 3.45 0.723283 5.1588 1.33319 9.94421 0.970896 9.28326
36 3.55 0.813228 5.58798 1.3806 11.4077 1.04275 10.3863
37 3.65 0.846209 6.06009 1.26004 12.8197 1.12073 11.6395
38 3.75 0.787106 6.52361 1.07763 14.0944 1.11631 12.9571
39 3.85 1.0095 7.15021 0.981067 15.3176 1.05217 14.2661
40 3.95 0.97217 7.78541 0.974538 16.5966 1.17983 15.8112
41 4.05 0.887266 8.39485 1.039 18.03 1.20334 17.4678
42 4.15 0.928336 9.06438 0.986568 19.4592 1.10448 19.0644
43 4.25 1.14618 9.93133 0.949164 20.9013 1.10691 20.7425
44 4.35 1.22408 10.9013 0.962654 22.4335 1.00796 22.3433
45 4.45 1.26284 11.9485 0.930184 23.9828 1.03547 24.0644
46 4.55 1.08913 12.8927 1.01791 25.7554 1.02751 25.8498
47 4.65 1.15655 13.9399 0.880209 27.3562 1.02163 27.7039
48 4.75 1.11745 14.9957 0.911384 29.0858 0.945073 29.4936
49 4.85 1.04571 16.0258 0.982651 31.03 0.986938 31.4421
50 4.95 1.00388 17.0558 1.00999 33.1116 0.989204 33.4764
51 5.05 1.0449 18.1717 0.984392 35.2232 1.03864 35.6996
52 5.15 0.950615 19.2275 0.98886 37.4292 0.933147 37.7768
53 5.25 1.06349 20.4549 1.07188 39.9142 0.968437 40.0172
54 5.35 1.05991 21.7253 1.0411 42.4206 1.00404 42.4292
55 5.45 0.890251 22.8326 1.02901 44.9914 0.976137 44.8627
56 5.55 0.838495 23.9142 0.959137 47.4764 0.997722 47.4421
57 5.65 0.834762 25.03 1.07574 50.3648 0.953107 49.9957
58 5.75 0.81218 26.1545 1.0155 53.1888 0.960457 52.6609
59 5.85 0.940384 27.5021 1.01388 56.1073 0.939856 55.3605
60 5.95 1.01905 29.0129 0.918111 58.8412 0.995194 58.3176
61 6.05 0.952042 30.4721 0.953532 61.7768 1.05338 61.5536
62 6.15 0.921333 31.9313 0.969994 64.8627 1.06131 64.9227
63 6.25 0.834364 33.2961 0.961409 68.0215 1.01453 68.2489
64 6.35 1.10822 35.1674 0.969331 71.309 0.967611 71.5236
65 6.45 1.07413 37.0386 0.968944 74.6996 0.998069 75.0086
66 6.55 0.989024 38.8155 0.959803 78.1631 0.997625 78.6009
67 6.65 1.18663 41.0129 0.996924 81.8712 1.0141 82.3648
68 6.75 1.08425 43.0815 0.994483 85.6824 0.979787 86.1116
69 6.85 1.02224 45.0901 0.99937 89.6266 1.02005 90.1288
70 6.95 0.937871 46.9871 0.969763 93.5665 0.993021 94.1545
71 7.05 1.01456 49.0987 1.06462 98.0172 0.971224 98.206
72 7.15 1.13073 51.5193 1.04602 102.515 0.980256 102.412
73 7.25 0.971056 53.6567 1.02222 107.034 1.01858 106.906
74 7.35 1.02829 55.9828 1.04371 111.777 1.05258 111.678
75 7.45 1.10797 58.5579 1.00301 116.459 1.00977 116.382
76 7.55 1.03207 61.0215 1.02137 121.356 1.03344 121.326
77 7.65 0.973741 63.4077 1.05937 126.571 0.985628 126.167
78 7.75 0.928298 65.7425 0.983782 131.541 0.996114 131.189
79 7.85 0.991286 68.3004 1.04748 136.97 1.05471 136.644
80 7.95 0.979478 70.8927 0.996265 142.266 0.974135 141.811
81 8.05 1.00591 73.6223 0.99214 147.674 1.02821 147.403
82 8.15 1.05235 76.5494 0.968711 153.086 0.983882 152.888
83 8.25 0.94568 79.2446 0.965612 158.614 1.00075 158.605
84 8.35 0.984905 82.1202 0.999706 164.476 0.990121 164.399
85 8.45 1.02489 85.1845 0.989048 170.416 1.01624 170.489
86 8.55 1.0992 88.5494 0.961162 176.326 0.992609 176.579
87 8.65 0.956128 91.5451 0.982031 182.506 1.01011 182.923
88 8.75 1.03614 94.867 1.01036 189.013 0.949087 189.021
89 8.85 0.93434 97.9313 0.949223 195.266 0.973463 195.421
90 8.95 0.931491 101.056 1.0377 202.258 0.985027 202.043
91 9.05 0.966081 104.369 0.965673 208.91 1.02769 209.107
92 9.15 0.940183 107.665 1.02269 216.112 1.03466 216.378
93 9.25 1.06611 111.485 1.04483 223.631 1.03871 223.837
94 9.35 1.01529 115.202 0.978826 230.828 0.976837 231.004
95 9.45 1.0995 119.313 0.976504 238.163 0.990057 238.425
96 9.55 0.930502 122.867 1.04568 246.185 0.972235 245.867
97 9.65 0.997166 126.755 1.02522 254.215 1.0104 253.764
98 9.75 1.007 130.764 0.979065 262.043 0.98655 261.635
99 9.85 1.05005 135.03 0.985583 270.086 1.02618 269.991
100 9.95 0.997987 139.167 1.00865 278.485 1.02528 278.511
11300 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0.169854 0.0343348 0 0
17 1.65 0 0 1.06801 0.27897 0.0187772 0.00429185
18 1.75 0 0 1.41587 0.643777 0.0333863 0.0128755
19 1.85 0 0 1.44585 1.06009 0.343567 0.111588
20 1.95 0 0 0.858648 1.33476 0.443693 0.253219
21 2.05 0 0 0.461307 1.49785 0.875934 0.562232
22 2.15 0 0 0.353179 1.63519 0.940149 0.927039
23 2.25 0 0 0.322488 1.77253 1.22203 1.44635
24 2.35 0 0 0.212484 1.87124 1.21284 2.00858
25 2.45 0 0 0.212494 1.97854 1.414 2.72103
26 2.55 0.378245 0.103004 0.306005 2.14592 1.28169 3.4206
27 2.65 2.48087 0.832618 0.297879 2.32189 0.975651 3.99571
28 2.75 2.71028 1.69099 0.45877 2.61373 0.770769 4.48498
29 2.85 2.47297 2.53219 0.703532 3.09442 0.818355 5.04292
30 2.95 1.50738 3.08155 0.938068 3.78112 0.634557 5.50644
31 3.05 1.23389 3.56223 1.14084 4.67382 0.758531 6.09871
32 3.15 0.908914 3.93991 1.53749 5.95708 0.705985 6.6867
33 3.25 0.853846 4.3176 1.52646 7.3133 0.818123 7.41202
34 3.35 0.968014 4.77253 1.48216 8.71245 0.824688 8.18884
35 3.45 1.01604 5.27897 1.53895 10.2532 1.08689 9.27468
36 3.55 0.862022 5.73391 1.2227 11.5494 1.00218 10.3348
37 3.65 0.738509 6.14592 1.06471 12.7425 1.21285 11.691
38 3.75 0.91829 6.6867 1.13931 14.0901 1.18539 13.0901
39 3.85 1.0095 7.3133 1.04303 15.3906 1.21776 14.6052
40 3.95 0.97217 7.9485 0.981078 16.6781 1.08806 16.03
41 4.05 0.924756 8.58369 0.983003 18.0343 1.09111 17.5322
42 4.15 1.02355 9.32189 1.03397 19.5322 1.06885 19.0773
43 4.25 0.953255 10.0429 0.977413 21.0172 1.02481 20.6309
44 4.35 1.13742 10.9442 0.989619 22.5923 1.07282 22.3348
45 4.45 0.921254 11.7082 0.950797 24.176 1.04322 24.0687
46 4.55 1.21785 12.7639 0.914394 25.7682 1.08432 25.9528
47 4.65 1.19447 13.8455 0.917966 27.4378 0.927035 27.6352
48 4.75 0.981179 14.7725 0.881985 29.1116 1.07879 29.6781
49 4.85 1.15028 15.9056 1.06291 31.2146 0.904331 31.4635
50 4.95 1.33015 17.2704 0.94335 33.1588 0.991291 33.5021
51 5.05 0.948446 18.2833 0.98039 35.2618 0.942397 35.5193
52 5.15 0.966072 19.3562 1.00425 37.5021 1.02376 37.7983
53 5.25 0.937058 20.4378 0.912673 39.618 1.01482 40.1459
54 5.35 0.895195 21.5107 0.991184 42.0043 0.966518 42.4678
55 5.45 0.910954 22.6438 1.13037 44.8283 0.929654 44.7854
56 5.55 0.851805 23.7425 1.06019 47.5751 0.984441 47.3305
57 5.65 0.854026 24.8841 1.00541 50.2747 1.00276 50.0172
58 5.75 0.991976 26.2575 0.984632 53.0129 0.986749 52.7554
59 5.85 0.916425 27.5708 1.00493 55.9056 1.00859 55.6524
60 5.95 0.82219 28.7897 0.968556 58.7897 0.924418 58.3991
61 6.05 1.05845 30.412 0.964684 61.7597 1.05896 61.6524
62 6.15 1.01347 32.0172 0.996975 64.9313 0.995063 64.8112
63 6.25 1.06001 33.7511 0.935284 68.0043 0.979186 68.0215
64 6.35 0.925215 35.3133 0.957942 71.2532 0.992975 71.382
65 6.45 0.995293 37.0472 0.991021 74.721 1.00421 74.8884
66 6.55 1.07025 38.97 0.96575 78.206 1.0155 78.5451
67 6.65 1.13101 41.0644 0.985386 81.8712 0.965534 82.1288
68 6.75 0.989771 42.9528 1.01576 85.7639 1.00223 85.9614
69 6.85 0.926136 44.7725 1.0059 89.7339 1.00152 89.9056
70 6.95 1.0864 46.97 1.00779 93.8283 1.01737 94.03
71 7.05 0.998062 49.0472 0.994805 97.9871 1.01032 98.2446
72 7.15 1.06657 51.3305 1.04403 102.476 1.09029 102.923
73 7.25 1.09975 53.7511 1.04746 107.107 1.00204 107.343
74 7.35 1.13074 56.309 1.04371 111.85 0.988216 111.824
75 7.45 0.978711 58.5837 1.01956 116.609 0.98582 116.416
76 7.55 0.967341 60.8927 1.00705 121.438 0.959879 121.009
77 7.65 1.01227 63.3734 0.996591 126.343 1.00398 125.94
78 7.75 1.07164 66.0687 0.9498 131.142 0.98079 130.884
79 7.85 0.981306 68.6009 1.00939 136.373 1.00326 136.073
80 7.95 0.888665 70.9528 1.03583 141.88 1.00245 141.391
81 8.05 0.967948 73.5794 1.01261 147.399 1.02742 146.979
82 8.15 1.00915 76.3863 0.995598 152.961 1.04393 152.798
83 8.25 0.987844 79.2017 0.982105 158.584 1.04132 158.747
84 8.35 1.02607 82.1974 0.984337 164.356 0.992322 164.554
85 8.45 0.910057 84.9185 0.98619 170.279 0.974703 170.395
86 8.55 1.00667 88 0.98629 176.343 1.02199 176.665
87 8.65 1.0027 91.1416 0.958162 182.373 0.94382 182.592
88 8.75 1.02275 94.4206 0.993037 188.768 1.01521 189.116
89 8.85 1.04164 97.8369 1.00199 195.369 1.01721 195.803
90 8.95 0.882869 100.798 0.992468 202.056 1.03099 202.734
91 9.05 1.05368 104.412 1.0666 209.403 0.969622 209.399
92 9.15 0.874076 107.476 0.98003 216.305 0.96809 216.202
93 9.25 1.08767 111.373 0.975057 223.322 0.954443 223.056
94 9.35 1.05515 115.236 0.992251 230.618 1.00199 230.408
95 9.45 1.04671 119.15 0.95422 237.785 1.04675 238.253
96 9.55 0.975454 122.876 1.06862 245.983 1.01148 245.996
97 9.65 1.07861 127.082 1.03398 254.082 1.01534 253.931
98 9.75 1.04798 131.253 1.01503 262.197 1.00538 261.953
99 9.85 1.03948 135.476 0.991368 270.288 1.00404 270.129
100 9.95 0.975212 139.519 1.01226 278.717 1.00359 278.468
11400 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0.212318 0.0429185 0 0
17 1.65 0 0 0.824426 0.23176 0 0
18 1.75 0 0 1.64908 0.656652 0.0667726 0.0171674
19 1.85 0 0 1.28189 1.02575 0.209128 0.0772532
20 1.95 0 0 1.07331 1.3691 0.510919 0.240343
21 2.05 0 0 0.461307 1.53219 0.644785 0.467811
22 2.15 0 0 0.353179 1.66953 1.05075 0.875536
23 2.25 0 0 0.262021 1.78112 1.40382 1.4721
24 2.35 0 0 0.249438 1.897 1.3332 2.09013
25 2.45 0 0 0.169995 1.98283 1.26919 2.72961
26 2.55 0.504326 0.137339 0.141233 2.06009 1.28169 3.42918
27 2.65 1.98469 0.72103 0.319675 2.24893 0.924684 3.97425
28 2.75 3.25234 1.75107 0.53973 2.59227 0.926275 4.56223
29 2.85 2.32157 2.54077 0.69725 3.06867 0.7617 5.08155
30 2.95 1.79001 3.19313 0.967382 3.77682 0.616931 5.53219
31 3.05 0.99152 3.5794 1.18472 4.70386 0.797007 6.15451
32 3.15 1.11549 4.04292 1.49121 5.9485 0.757517 6.78541
33 3.25 0.737412 4.3691 1.65689 7.4206 0.793918 7.48927
34 3.35 0.913221 4.79828 1.46398 8.80258 0.861138 8.30043
35 3.45 0.99882 5.29614 1.4275 10.2318 0.919344 9.21888
