# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
16 1.55 0 0 0.167314 0.0343348 0.0209592 0.00429185
17 1.65 0 0 0.904381 0.244635 0.0369929 0.0128755
18 1.75 0 0 1.52597 0.643777 0.0657741 0.0300429
19 1.85 0 0 1.43891 1.06438 0.132429 0.0686695
20 1.95 0 0 0.819376 1.33047 0.423813 0.206009
21 2.05 0 0 0.573989 1.53648 0.766965 0.480687
22 2.15 0 0 0.250051 1.63519 1.01325 0.879828
23 2.25 0 0 0.218395 1.72961 1.28334 1.43348
24 2.35 0 0 0.236607 1.8412 1.34974 2.06867
25 2.45 0.033635 0.00858369 0.226062 1.95708 1.47676 2.82403
26 2.55 0.403637 0.120172 0.270513 2.1073 1.1386 3.45494
27 2.65 2.01251 0.72103 0.364992 2.32618 0.831963 3.95279
28 2.75 3.09691 1.71674 0.385453 2.57511 0.785883 4.45923
29 2.85 2.43599 2.55794 0.711573 3.06867 0.626291 4.8927
30 2.95 1.50804 3.11588 0.895163 3.73391 0.827636 5.50644
31 3.05 1.21544 3.59657 1.1616 4.65665 0.6768 6.04292
32 3.15 0.752884 3.91416 1.60568 6.01717 0.79695 6.71674
33 3.25 0.936654 4.33476 1.48936 7.36052 0.896491 7.52361
34 3.35 0.989521 4.80687 1.6257 8.91845 0.89763 8.38197
35 3.45 0.729431 5.17597 1.33014 10.2704 0.93945 9.33476
36 3.55 0.929237 5.67382 1.34002 11.7124 1.02716 10.4378
37 3.65 0.879021 6.17167 1.1167 12.9828 1.17581 11.7725
38 3.75 1.07685 6.81545 1.03292 14.2232 1.17841 13.1845
39 3.85 0.939912 7.40773 1.03082 15.5279 1.30829 14.8369
40 3.95 0.996454 8.06867 1.0566 16.9356 1.09439 16.2918
41 4.05 0.910927 8.70386 1.1399 18.5322 1.14235 17.8884
42 4.15 1.12548 9.5279 0.919284 19.8841 1.17278 19.6094
43 4.25 1.11786 10.3863 1.00175 21.4292 0.992753 21.1373
44 4.35 1.24845 11.3906 1.05716 23.1373 0.974255 22.7082
45 4.45 1.06042 12.2833 0.913735 24.6824 1.03271 24.4506
46 4.55 0.975313 13.1416 0.937137 26.3391 1.00971 26.2318
47 4.65 1.16727 14.2146 0.890292 27.9828 0.980728 28.0386
48 4.75 1.12759 15.2961 0.844291 29.6094 0.971125 29.9056
49 4.85 0.94423 16.2403 1.00855 31.6352 1.04284 31.9957
50 4.95 1.1372 17.4249 0.900525 33.5193 0.982634 34.0472
51 5.05 0.799666 18.2918 0.985438 35.6652 0.989532 36.1974
52 5.15 0.928786 19.3391 1.01008 37.9528 1.03314 38.5322
53 5.25 0.945022 20.4464 0.937319 40.1588 0.97954 40.8326
54 5.35 0.888862 21.5279 1.09577 42.8369 0.943265 43.133
55 5.45 0.924523 22.6953 1.04747 45.4936 0.936102 45.5021
56 5.55 0.989836 23.9914 0.964375 48.03 0.907579 47.8841
57 5.65 0.961434 25.2961 0.968329 50.6695 0.960944 50.4979
