# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
45 4.45 0.88574 12.1803 0.997192 24.9485 1.03951 24.7425
46 4.55 0.885746 12.97 0.968222 26.6824 0.955894 26.4506
47 4.65 0.931023 13.8369 0.970625 28.4979 0.98651 28.2918
48 4.75 1.05125 14.8584 0.899402 30.2532 1.00271 30.2446
49 4.85 1.09308 15.9657 0.934413 32.1545 0.980812 32.2361
50 4.95 0.919211 16.9356 0.996262 34.2661 0.95579 34.2575
51 5.05 1.13327 18.1803 0.928016 36.3133 1.05089 36.5708
52 5.15 0.999506 19.3219 0.942836 38.4764 1.01048 38.8841
53 5.25 0.997951 20.5064 0.943264 40.7253 0.966941 41.1845
54 5.35 1.08634 21.8455 0.936068 43.0429 0.991934 43.6352
55 5.45 1.06026 23.2017 0.987225 45.5794 0.964238 46.1073
56 5.55 0.996517 24.5236 1.03734 48.3433 1.00083 48.7682
57 5.65 0.836678 25.6738 0.977634 51.0429 0.959487 51.412
58 5.75 0.958544 27.0386 1.02346 53.97 0.980546 54.2103
59 5.85 0.931879 28.412 1.00327 56.9399 0.979274 57.103
60 5.95 0.979641 29.9056 1.02169 60.0687 1.00984 60.1888
61 6.05 1.14356 31.7082 1.02072 63.3004 0.983523 63.2961
62 6.15 0.911692 33.1931 1.03634 66.691 1.04251 66.6996
63 6.25 0.974599 34.8326 1.14443 70.5579 1.02978 70.1717
64 6.35 1.1567 36.8412 1.009 74.0773 0.954446 73.4936
65 6.45 1.03008 38.6867 1.00181 77.6824 1.03384 77.206
66 6.55 0.94312 40.4292 0.950637 81.2103 1.00484 80.927
67 6.65 1.1809 42.6781 1.01426 85.0901 1.04793 84.927
68 6.75 0.853063 44.3519 1.01819 89.103 1.00074 88.8627
69 6.85 1.12994 46.6352 1.00349 93.176 0.989748 92.8712
70 6.95 1.02751 48.7725 0.998442 97.3476 1.02015 97.1245
71 7.05 0.978512 50.867 0.959338 101.472 1.01442 101.476
72 7.15 1.0839 53.2532 0.972484 105.773 1.04558 106.09
73 7.25 1.03903 55.6052 1.03269 110.468 0.959228 110.442
74 7.35 1.00357 57.9399 0.99743 115.129 1.02811 115.236
75 7.45 0.897806 60.0858 1.02626 120.056 1.02399 120.142
76 7.55 1.04902 62.6609 0.995771 124.966 1.02146 125.167
77 7.65 0.861694 64.8326 1.04282 130.245 1.00513 130.245
78 7.75 1.05863 67.5708 0.954954 135.206 1.02738 135.571
79 7.85 1.048 70.3519 1.01371 140.609 0.979581 140.781
80 7.95 0.983958 73.03 1.00407 146.099 0.962173 146.03
81 8.05 0.98427 75.7768 0.928747 151.305 0.959902 151.399
82 8.15 0.972268 78.5579 0.967348 156.863 1.0368 157.343
83 8.25 0.978126 81.4249 0.991424 162.7 0.955567 162.957
84 8.35 0.992003 84.4034 1.03898 168.966 0.969901 168.794
85 8.45 0.965872 87.3734 1.02357 175.288 0.990953 174.901
86 8.55 0.99249 90.4979 0.984158 181.511 0.994436 181.176
87 8.65 0.927052 93.485 0.985407 187.888 0.996165 187.609
88 8.75 1.01533 96.8326 0.977918 194.365 0.984567 194.116
89 8.85 0.964517 100.086 0.99902 201.133 0.999899 200.876
90 8.95 1.0252 103.622 1.00469 208.094 1.00934 207.854
91 9.05 1.07081 107.399 1.02017 215.322 1.02783 215.12
92 9.15 1.08801 111.322 0.961254 222.283 0.991829 222.288
93 9.25 1.09955 115.373 1.01249 229.777 1.04605 230.013
94 9.35 1.01004 119.176 1.0006 237.343 1.00104 237.567
95 9.45 0.995472 123.004 0.980643 244.918 0.979968 245.12
96 9.55 1.03593 127.073 0.986327 252.7 1.01516 253.112
97 9.65 0.928951 130.798 1.02993 260.996 1.03214 261.408
98 9.75 1.00015 134.893 1.02613 269.433 1.00951 269.691
99 9.85 0.934753 138.798 1.00387 277.858 1.00449 278.103
100 9.95 0.938205 142.798 0.97778 286.232 1.00349 286.678
11200 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0.0206452 0.00429185 0 0
17 1.65 0 0 0.255071 0.0643777 0 0
18 1.75 0 0 0.92324 0.309013 0.0649281 0.0171674
19 1.85 0 0 1.55085 0.76824 0.203351 0.0772532
20 1.95 0 0 0.965386 1.08584 0.313772 0.180258
21 2.05 0 0 0.684649 1.33476 0.579654 0.390558
22 2.15 0 0 0.450742 1.51502 0.903422 0.751073
23 2.25 0 0 0.293981 1.64378 1.04097 1.20601
24 2.35 0 0 0.359329 1.81545 1.0713 1.71674
25 2.45 0 0 0.322334 1.98283 1.3915 2.43777
26 2.55 0.275847 0.0772532 0.297552 2.15021 1.16983 3.09442
27 2.65 1.64606 0.575107 0.445073 2.4206 1.0903 3.75536
28 2.75 3.16249 1.60515 0.596983 2.81116 1.03217 4.42918
29 2.85 2.13475 2.35193 0.849013 3.40773 0.899808 5.06009
30 2.95 1.80927 3.03004 1.02047 4.17597 0.839844 5.69099
31 3.05 1.24266 3.5279 1.39199 5.29614 0.844472 6.3691
32 3.15 1.16502 4.02575 1.46002 6.54936 1.03223 7.25322
33 3.25 1.18878 4.56652 1.57824 7.99142 0.941447 8.11159
34 3.35 0.959033 5.03004 1.40143 9.35193 1.02786 9.1073
35 3.45 1.15543 5.62232 1.3172 10.7082 0.944075 10.0773
36 3.55 1.02799 6.18026 1.25192 12.073 1.07707 11.2489
37 3.65 0.942518 6.72103 1.17309 13.4249 1.18681 12.6137
38 3.75 1.02048 7.33906 0.998463 14.6395 1.12082 13.9742
39 3.85 0.887483 7.90558 1.00417 15.927 1.08684 15.3648
