# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0.152184 0.0300429 0 0
17 1.65 0 0 0.901741 0.23176 0.0192272 0.00429185
18 1.75 0 0 1.58626 0.630901 0.119652 0.0343348
19 1.85 0 0 1.57207 1.07296 0.321209 0.124464
20 1.95 0 0 0.796798 1.32189 0.495628 0.27897
21 2.05 0 0 0.559375 1.51502 0.834639 0.566524
22 2.15 0 0 0.33904 1.64378 0.974004 0.935622
23 2.25 0 0 0.175427 1.71674 1.05483 1.37339
24 2.35 0 0 0.208116 1.81116 1.26086 1.94421
25 2.45 0 0 0.174069 1.897 1.33449 2.60086
26 2.55 0.419585 0.111588 0.241029 2.02575 1.30436 3.29614
27 2.65 2.12191 0.72103 0.386852 2.24893 1.09595 3.92704
28 2.75 3.24702 1.72532 0.580298 2.60944 0.81001 4.42918
29 2.85 2.63559 2.60086 0.604614 3.01288 0.64459 4.85837
30 2.95 1.37468 3.09013 0.888507 3.64807 0.691879 5.35193
31 3.05 1.19578 3.54506 1.1738 4.54506 0.737311 5.91416
32 3.15 0.719174 3.83691 1.51116 5.77682 0.833714 6.59227
33 3.25 0.814696 4.18884 1.58283 7.15021 0.788159 7.27468
34 3.35 0.785489 4.54936 1.48509 8.51931 0.83512 8.04292
35 3.45 0.89932 4.98712 1.36514 9.85408 0.936977 8.95708
36 3.55 0.749445 5.37339 1.16495 11.0601 1.09267 10.0858
37 3.65 0.771962 5.79399 1.19611 12.3691 1.11222 11.3004
38 3.75 0.940297 6.33476 1.018 13.5451 1.12072 12.5923
39 3.85 0.977048 6.92704 1.08565 14.867 1.08798 13.9142
40 3.95 0.955111 7.53648 0.967755 16.1073 1.19803 15.4464
41 4.05 1.04929 8.24034 0.977892 17.4249 1.05661 16.867
42 4.15 1.13339 9.03863 1.05875 18.9227 1.04278 18.3391
43 4.25 1.31309 10.0086 0.940092 20.3176 1.16242 20.0601
44 4.35 1.04266 10.8155 0.958113 21.8069 1.05425 21.6953
45 4.45 1.05992 11.6738 1.00524 23.4421 0.962456 23.2575
46 4.55 1.07468 12.5837 0.956497 25.0687 1.05213 25.0429
47 4.65 0.931883 13.4077 0.923051 26.7082 1.05822 26.9185
48 4.75 1.16284 14.4807 0.94712 28.4635 1.09072 28.9356
49 4.85 1.17784 15.6137 0.963997 30.3262 0.937132 30.7425
50 4.95 0.796655 16.412 0.95103 32.2403 1.01505 32.7811
51 5.05 1.06171 17.5193 1.07764 34.4979 0.934183 34.7339
52 5.15 0.949655 18.5494 0.963309 36.5966 0.991045 36.8884
53 5.25 1.08897 19.7768 0.972457 38.7983 1.03914 39.2361
54 5.35 1.03398 20.9871 0.994858 41.1373 0.898212 41.3433
55 5.45 0.847986 22.0172 0.951649 43.4592 0.983664 43.7382
56 5.55 0.89266 23.1416 1.00926 46.0129 0.992734 46.2446
57 5.65 0.881068 24.2918 1.03769 48.7339 0.938222 48.6996
58 5.75 1.06654 25.7339 1.00349 51.4592 1.02465 51.4764
59 5.85 0.901587 26.9957 1.01528 54.3133 0.947079 54.133
60 5.95 0.996042 28.4378 0.98734 57.1845 0.992421 57.0129
61 6.05 0.854434 29.7167 0.982093 60.1373 0.957025 59.8841
62 6.15 0.943413 31.176 1.02916 63.3348 0.977378 62.9142
63 6.25 0.913466 32.6352 1.00986 66.5751 0.99863 66.1116
64 6.35 1.02547 34.3262 0.954983 69.7382 1.01288 69.4592
65 6.45 1.10996 36.2146 0.973326 73.0644 1.00814 72.897
66 6.55 1.04697 38.0515 1.02299 76.6695 1.03618 76.5408
67 6.65 1.02996 39.9142 0.967647 80.1845 1.02538 80.2575
68 6.75 0.944389 41.6738 1.03093 84.0429 0.975686 83.9013
69 6.85 1.10937 43.8026 0.933125 87.6395 1.08466 88.073
70 6.95 1.10809 45.9914 0.996248 91.5923 0.975625 91.9356
71 7.05 1.13178 48.2918 0.98816 95.6266 0.983964 95.9442
72 7.15 1.01002 50.4034 1.01181 99.8755 1.00682 100.163
73 7.25 1.00231 52.5579 0.990059 104.15 1.00613 104.498
